,,,,,,,
,no.,album,category,date,title,duration,url
,1,하라는 공부는 안하고,옴니버스,2018.12.07,콘크리트연애,,
,2,우리,기타,2019.05.22,우리 (Feat. 손효진 of 문없는집),,
,3,Happyhappyhappylife,싱글,2019.05.23,Happyhappyhappylife,,https://youtu.be/tnIdqE4vBqg?si=jT-tF0EThihWcKAU
,4,문없는집,EP,2019.07.29,새벽,,https://youtu.be/inktgk4rITE?si=vZB8fh_XISTNFW6T
,5,문없는집,EP,2019.07.29,디스코,,https://youtu.be/L1VqFvV9o8o?si=RKQsvOrm0CDvlpfq
,6,문없는집,EP,2019.07.29,Happyhappyhappylife,,https://youtu.be/oZ48KXTeY1o?si=5om_kOzj3sr0QQOf
,7,문없는집,EP,2019.07.29,말,,https://youtu.be/65oY-2KqQ8I?si=SF24e-suEUSktyhx
,8,문없는집,EP,2019.07.29,콘크리트연애 (Re-recorded),,https://youtu.be/jmurNmZJ_Ac?si=TOzo8uO3Hbw5Kw8d
,9,문없는집,EP,2019.07.29,나는 너와,,https://youtu.be/chtKd-BNHas?si=f93OmKBgjm2EWp1L
,10,터널,싱글,2020.12.23,터널,,https://youtu.be/3-TZFQj51JQ?si=itzkZTJt439GhvXq
,11,밝은 미래,EP,2020.12.30,터널 (Album Ver.),,https://youtu.be/KjmE-A9U5NQ?si=JfSyDAd6on1EPz5c
,12,밝은 미래,EP,2020.12.30,밝은 미래,,https://youtu.be/kaoaHsxkzaY?si=R4jIClKt9dmUNjaZ
,13,밝은 미래,EP,2020.12.30,저묾,,https://youtu.be/pLZZuHcVZJI?si=5RmAuU-zHsaAAw1i
,14,밝은 미래,EP,2020.12.30,시간이 흐르지 않는 친구에게,,https://youtu.be/2o939W0He5o?si=4Tz0Z1nz5jL0PWau
,15,밝은 미래,EP,2020.12.30,Exit,,https://youtu.be/cSOJGpuYs_E?si=Qad03Ue2pnbhcs5H
,16,스페이스센터,싱글,2021.09.04,스페이스센터,,https://youtu.be/oho1gUtBgj4?si=5TvON7R85_pFdYVr
,17,Behind Your Dream,싱글,2022.03.22,Behind Your Dream,,https://youtu.be/GcZT97p1cDU?si=IKJ-c0gUujR7eAf5
,18,검은 강을 건너,싱글,2022.04.19,검은 강을 건너,,https://youtu.be/fbll94pQz_g?si=GN71PM3u-ai6nr7_
,19,Colors of,싱글,2022.07.29,Colors of,,https://youtu.be/ioWc13tra6k?si=gN02gfy0gSKh7yxE
,20,한가로운 생각,EP,2022.08.17,방학을 기다리던 날들,,https://youtu.be/1-hriDfIrZg?si=s01Kc07alLa8Stfu
,21,한가로운 생각,EP,2022.08.17,썸머무드,,https://youtu.be/rEKXoDrvKoo?si=LjTvyFXvbkfi9bLE
,22,한가로운 생각,EP,2022.08.17,굿모닝포토,,https://youtu.be/PMrruQ2BeNs?si=eZO4gv8no2LcizVl
,23,한가로운 생각,EP,2022.08.17,Colors of,,https://youtu.be/koPfR_5gLUo?si=ssw-8qzwvp40WBmH
,24,한가로운 생각,EP,2022.08.17,자장자장,,https://youtu.be/BKpkm7LJ6Kw?si=mADaXmy9bucWAL-z
,25,마음의 고향,싱글,2023.02.27,마음의 고향,,https://youtu.be/P3q1wIgrjWU?si=oFLUh3ELZ7-yOZT_
,26,Alchemist,싱글,2023.05.12,Alchemist,,https://youtu.be/4e6SNwkaYgs?si=OhkvAzP_7Z-K_166
,27,Alchemist,싱글,2023.05.12,Alchemist (Radio Edit),,https://youtu.be/4e6SNwkaYgs?si=qyuayRaq2LT3pv_x
,28,아네모이아 풍경관광,싱글,2025.06.11,아네모이아 풍경관광,,https://youtu.be/aaX2_AvttNk?si=o0g5DXCIHtyl5kyk
,29,우리들의 과거는 철거되었지만,싱글,2025.09.05,우리들의 과거는 철거되었지만,,https://youtu.be/Sskh2bVkq9Q?si=nDMwnjP2ANtChQTt
,30,MIRAE COMPLEX Pt. 1,정규,2025.09.26,ruqot,,https://youtu.be/tYhhTGE4j_s?si=WCAR01PWDya2RjER
,31,MIRAE COMPLEX Pt. 1,정규,2025.09.26,Party party party!,,https://youtu.be/OcWSKPLVhDE?si=CTIE_gJvZIkyf1t_
,32,MIRAE COMPLEX Pt. 1,정규,2025.09.26,질주,,https://youtu.be/rgivMbwkVw0?si=NKSsCJxhOQAXRyXB
,33,MIRAE COMPLEX Pt. 1,정규,2025.09.26,2077,,https://youtu.be/95MBFB1_Pw4?si=vMKz1qjJXFhI_S6f
,34,MIRAE COMPLEX Pt. 1,정규,2025.09.26,아네모이아 풍경관광,,https://youtu.be/aaX2_AvttNk?si=KKLiC5L5irTa1Oxa
,35,MIRAE COMPLEX Pt. 1,정규,2025.09.26,~Cicadas~,,https://youtu.be/US2ylj6KwYk?si=vms6VmC3OMZSJfjL
,36,MIRAE COMPLEX Pt. 1,정규,2025.09.26,내가 태어난 해 여름,,https://youtu.be/hPWCeDjUgVM?si=PldvW6VNOTxHbXkj
,37,MIRAE COMPLEX Pt. 1,정규,2025.09.26,우리들의 과거는 철거되었지만,,https://youtu.be/Sskh2bVkq9Q?si=Il4EmBzxYv8GgL1Q
,38,MIRAE COMPLEX Pt. 1,정규,2025.09.26,Snowflakes of 2000,,https://youtu.be/ui4kzd15iCs?si=HmIygmR9JGT7v8zA
,39,MIRAE COMPLEX Pt. 1,정규,2025.09.26,미래에 Pt. 2,,https://youtu.be/ix4uvLNqOpA?si=O8W8h-1i-NqmEYxd
